worktree_id	head	mode	branch	dirty	disposition
2ad47fffca34b4e2	dc7fd24c5b145bcb9cb28c7d3b9ca7079d7fb653	detached	-	clean	preserve_registration_branch_and_existing_work
2c120872bf8a9adb	72a53be50d1256b893b47c077f4d0d573fe4c5ed	branch	codex/5467-closeout	dirty	preserve_registration_branch_and_existing_work
2db1581ec32638e4	e6cf6d8fcc48364caa718cca1fc75af2833891ad	branch	codex/4739-v0-91-7-unity-tooling-align-unity-mcp-live-project-and-port-proof-for-observatory-worktrees	dirty	preserve_registration_branch_and_existing_work
2f774ebd2037ce23	67acb4415e0e2ef1bade7328d19ecd26702788c8	branch	codex/5587-google-drive-context-mirror	dirty	preserve_registration_branch_and_existing_work
3038cbb737ce0bda	4385f04115bcce33d1b50cd1b3a5af0cfbe6630d	branch	codex/5352-v0918-final-handoff	dirty	preserve_registration_branch_and_existing_work
31d191971399c946	d9ec982053bd085daa123bcb5e5010206872b71c	branch	codex/5358-http-mock-determinism	clean	preserve_registration_branch_and_existing_work
3762ff37ff146c87	325d8f490129f4198198222e9a95c0c94fa9410c	branch	codex/5512-runtime-v3-csm-coverage-filter	dirty	preserve_registration_branch_and_existing_work
3909cb77e1a61ba8	0581f3ab9a7ca6e1d9ea9bcd7bf00ba470086a3d	branch	codex/5495-publication-metadata	dirty	preserve_registration_branch_and_existing_work
3a8c077346c4200b	9fc55cb593674a32a6da9bf1afa86d792a34db7d	branch	codex/sprint3-review-findings-fixes	dirty	preserve_registration_branch_and_existing_work
3b0d842c1b48cea4	09c0bd1784216dbce1ad4cdebfe2d453af6e3d9d	branch	codex/5384-v0918-wp14a-preparation-final	dirty	preserve_registration_branch_and_existing_work
3c03521a191a59d8	d50d20bb72fb617f0a17706fe5029edceb7dabb2	branch	codex/5860-quality-release-replay	clean	preserve_registration_branch_and_existing_work
3e49f232e8a67c42	37fed42431302fda2ec68873446cdadaaa90355b	branch	codex/5722-observatory-trusted-live-controls	dirty	preserve_registration_branch_and_existing_work
3fd6fa33ee7147e6	9581b1ab360dc1854e7bd4983008498d6af381a7	branch	codex/5896-bound-topology-migration	dirty	preserve_registration_branch_and_existing_work
438ca2d9343b4d07	08adef2324f70b2a4569c4c231c576ce69327dbb	branch	codex/5467-backend-snapshot-contract	dirty	preserve_registration_branch_and_existing_work
441e629ad9cc43d7	feed452c05edbaf86a0b043a65359b40e63d6c8d	branch	codex/5717-podcast-studio-copy	dirty	preserve_registration_branch_and_existing_work
460fe5f9a5806125	8e029b98e5fbb95369afd3478b3be55dcfd89d1e	branch	codex/5748-post-merge-closeout	clean	preserve_registration_branch_and_existing_work
46ffb10e3bc667a2	5f48b0854cd36f64bef38ed0d09a09d84fa2e158	branch	codex/5342-v0918-wp07-records-signing	dirty	preserve_registration_branch_and_existing_work
4b549e70639071c9	c9c10db46da318a55a9a739ae1ccb61cba28b1eb	branch	codex/5527-terminal-sor-artifact-repair	dirty	preserve_registration_branch_and_existing_work
4e884f880af9c52c	88d4db7b420b9f9f4c41b62a76371d63ed757ce3	branch	codex/4761-v0918-wp14-preparation	clean	preserve_registration_branch_and_existing_work
4f03c92dd8c545a2	0e0c0a9cf318d654c53177743d529ddf2afc0833	branch	codex/5600-terminal-reconcile-5358	clean	preserve_registration_branch_and_existing_work
4f75b72697653eb5	313268e09b8d9906f61b0e12ac05cce4deea1e3c	branch	codex/4763-v0918-wp14-preparation	dirty	preserve_registration_branch_and_existing_work
4fa2b3a213c93cc0	2a3f4d861490f1b96ca20289b6f4c70747442f76	branch	codex/5891-v0-92-promote-agent-logic-adl-copy-to-canonical-authority	dirty	preserve_registration_branch_and_existing_work
502069dacf3ce83c	daed41cb4336277e708f8fff95e2fe3a2a37cc72	branch	codex/5881-remove-csdlc-claims	clean	preserve_registration_branch_and_existing_work
527ec82935a56fcf	54b8497f34e19c798689810b9b6788dfa223301f	branch	codex/rust-watchlist-refresh-20260412	dirty	preserve_registration_branch_and_existing_work
52ff72e29a3a222d	6787d12a21a81e99bd441590ccd113c220a43a60	branch	codex/5514-complete-csm-coverage	dirty	preserve_registration_branch_and_existing_work
53081d057b51f763	09c86187a611117c26bb0ebeef50b4da10b3b989	branch	codex/5573-v0917-closeout-audit	dirty	preserve_registration_branch_and_existing_work
543ecb697ab00fe8	845e614893265faae67eede54eb0c390df767daf	branch	codex/5390-closeout-audit	dirty	preserve_registration_branch_and_existing_work
555966baa8578ad1	9b90fa36a2cb52d99aad19d607ff07f1bc4f1d6b	branch	codex/csdlc-merge-command	dirty	preserve_registration_branch_and_existing_work
560b566dc5c41407	b69dd15f21df7c9ebb68acc0da0d6fe0377b6181	branch	codex/5352-v0918-clean-publication	dirty	preserve_registration_branch_and_existing_work
5723cdc915fda431	92fed26e1ff2031a57d80a014fbef77542da55d8	detached	-	dirty	preserve_registration_branch_and_existing_work
611694530a7002b8	af5bdea3770f6a42d729f9e32cff4a62433e191e	branch	codex/5708-podcast-studio-magicui	dirty	preserve_registration_branch_and_existing_work
6158bcadb3a5504e	f626de66bd6ff4e3dbd2ff38628344161b0446e5	branch	codex/4645-closeout-reconciliation	dirty	preserve_registration_branch_and_existing_work
62475405f55af287	f7258b07e9da414bfee518f0c89a76071bc03ee8	detached	-	clean	preserve_registration_branch_and_existing_work
673c2271a9f253a6	8814c2aa24a4b39f18b7b6427b380dae2c3da5c1	branch	codex/5678-opus-review-runbook	dirty	preserve_registration_branch_and_existing_work
6772e82ebe8807d8	32cfd4b05ccbd2036d0e3d9e31812f6a37626c46	branch	codex/5352-v0918-preparation-preserved-32cfd4b	dirty	preserve_registration_branch_and_existing_work
69aa5a14f69b67ad	4570c10bc79bca0a59841ff85cf97f4028579ff0	detached	-	clean	preserve_registration_branch_and_existing_work
69fe0c6b71f2fcd2	b22797a6fa993d3bbf1694eed3b8d5acbeb4252f	branch	codex/5861-repair	clean	preserve_registration_branch_and_existing_work
6b2822eed813359a	006b7866b917868ef9ab616ae795515da5ec75cf	branch	codex/5860-birthday-publication-repair	clean	preserve_registration_branch_and_existing_work
6c1223d3921eb88c	ac3278e8b0a7e98783ca6d6e1333358e84f3c01a	branch	codex/5662-v0918-unity-observatory-polish	dirty	preserve_registration_branch_and_existing_work
6e7658693e1b8dc6	7dc3f292d0137913869872f06f3f1601f3a6bfb3	branch	codex/5350-v0918-wp11-shadow-parity	dirty	preserve_registration_branch_and_existing_work
71c2f47cd419be33	9f144003669ef859e280c3de5cd8abac24a855b5	branch	codex/5347-v0918-wp13-external-band-deletion	dirty	preserve_registration_branch_and_existing_work
72a7585bac58c2d4	3106dcdde0d3f89bcacb2d1c2dee954a48127881	branch	codex/5547-closeout-audit	dirty	preserve_registration_branch_and_existing_work
74b06e67903ca811	23fd17288b4b3383ed4a2cf9288fc7499244b338	branch	codex/5698-runtime-v3-redb-state	dirty	preserve_registration_branch_and_existing_work
75bc1745affe0d16	11e52f2b7b278110c2c267a6b7cab5dd05272b29	branch	codex/5663-runtime-v3-durable-local-adapters	clean	preserve_registration_branch_and_existing_work
7687e7d076597695	cf3435848c63bbdb08cc1857da1cf6106c75a791	branch	codex/5412-closeout	dirty	preserve_registration_branch_and_existing_work
79c0e1b6add169a1	469ccdf0ee792761cf6e74bded95a5955ab6df9b	branch	codex/5780-delete-terminal-reconciliation	clean	preserve_registration_branch_and_existing_work
7cd3ad46dbbfa0b4	5f48b0854cd36f64bef38ed0d09a09d84fa2e158	detached	-	dirty	preserve_registration_branch_and_existing_work
7da578a7bfccd54b	326ec6b2ec1cc2ba66c5c3e875dd997d31ee4620	branch	codex/5499-v0918-wp10a-conductor	dirty	preserve_registration_branch_and_existing_work
7edb1db2c338487a	6a4214227a62752fb5aab379215a0867e2029354	branch	codex/5854-demo-publication-preparation	clean	preserve_registration_branch_and_existing_work
7f99945a64870fb8	168faec45aa42b7bfc1cd28d90c2854798df1fc6	branch	codex/5360-v0918-preparation	dirty	preserve_registration_branch_and_existing_work
80cb1a2f8ffed270	ea6e59494895fcbb43b406d0b322e12a04616167	branch	codex/5600-complete-typed-replanning	dirty	preserve_registration_branch_and_existing_work
81a1cb6de405336a	447e931deac90dde4ee2626817e6d887cd3bce34	branch	codex/5861-v092-csdlc-preparation	dirty	preserve_registration_branch_and_existing_work
84083c7a2f35617e	373cbbde8c34655035e1d5ae4b739a177f67f760	branch	codex/5409-wp07a-runtime-rearchitecture	dirty	preserve_registration_branch_and_existing_work
84bad340c36eb1d4	7e08c356a090e230152b4a6bb2d32fced6b199da	branch	codex/5766-csm-runtime-endpoint-inventory	dirty	preserve_registration_branch_and_existing_work
86906a14b8f3e6c6	dd136f82d118b6e056ef3c5b384930e3f2c2a5dd	branch	codex/5860-v092-ownership-normalization	clean	preserve_registration_branch_and_existing_work
87e2461a3c5d1ed0	19d5f3f8cea4d2998dd6064fc8df177f9feb1bc6	branch	codex/5466-preserved-concurrent	dirty	preserve_registration_branch_and_existing_work
882f48f6cdb511f8	7ef7462392278cb4e3e6d50a3d187a3ceff1126b	branch	codex/5757-observatory-corrective	dirty	preserve_registration_branch_and_existing_work
885fc285a11c8f7a	53092f4a89f4a5ba9cc138543a4c83d5654a6214	branch	codex/5466-merged-head-closeout-recovery	dirty	preserve_registration_branch_and_existing_work
8af9d7e0154b6361	82e3c94c7a0a759619a2cad08088bc79f324eff3	branch	codex/5455-terminal-reconcile	clean	preserve_registration_branch_and_existing_work
8b12e4de0c0cef38	b11b8be6549f8988e514f33a8b254907725bda6b	detached	-	clean	preserve_registration_branch_and_existing_work
8e919c1dc4a5dfb7	8127883103f54fdcf3e44bb488639295f100ed7d	branch	codex/5413-runtime-v3-live-parity	dirty	preserve_registration_branch_and_existing_work
8eb1ae09f9a2eded	43451b2eaf433f17eb2719f9e75f1a621885d767	branch	codex/5548-gate2-temp-root-init	dirty	preserve_registration_branch_and_existing_work
